idal_mat_not,fk_idmateria_almatnotcur,fk_idnota_almatnotcur,fk_idalumno_almatnotcur,fk_idcurso_almatnotcur,valor_nota,obs,createdAt,updatedAt
1309,1,4,109,1,,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,2024-12-31,
1310,2,4,110,2,2,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,2024-12-31,
1311,3,4,111,3,,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,2024-12-31,
1312,4,4,112,4,,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,2024-12-31,
1313,1,4,113,1,,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,2024-12-31,
1314,2,4,114,2,,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,2024-12-31,
1315,3,4,115,3,,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,2024-12-31,
1316,4,4,116,4,,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,2024-12-31,
1317,1,4,117,1,,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,2024-12-31,
1318,2,4,118,2,5,massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,2024-12-31,
1319,3,4,119,3,,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,2024-12-31,
1320,4,4,120,4,3,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,2024-12-31,
1321,1,4,121,1,8,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,2024-12-31,
1322,2,4,122,2,,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,2024-12-31,
1323,3,4,123,3,6,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus,2024-12-31,
1324,4,4,124,4,,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,2024-12-31,
1325,1,4,125,1,5,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,2024-12-31,
1326,2,4,126,2,,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,2024-12-31,
1327,3,4,127,3,,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac,2024-12-31,
1328,4,4,128,4,,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,2024-12-31,
1329,1,4,129,1,,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,2024-12-31,
1330,2,4,130,2,,proin at turpis a pede posuere nonummy integer non velit,2024-12-31,
1331,3,4,131,3,,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh,2024-12-31,
1332,4,4,132,4,7,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim,2024-12-31,
1333,1,4,133,1,,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,2024-12-31,
1334,2,4,134,2,,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,2024-12-31,
1335,3,4,135,3,,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,2024-12-31,
1336,4,4,136,4,,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio,2024-12-31,
1337,1,4,137,1,6,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,2024-12-31,
1338,2,4,138,2,,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,2024-12-31,
1339,3,4,139,3,6,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,2024-12-31,
1340,4,4,140,4,8,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,2024-12-31,
1341,1,4,141,1,,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,2024-12-31,
1342,2,4,142,2,,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu,2024-12-31,
1343,3,4,143,3,2,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,2024-12-31,
1344,4,4,144,4,,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,2024-12-31,
1345,1,4,145,1,,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,2024-12-31,
1346,2,4,146,2,,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,2024-12-31,
1347,3,4,147,3,8,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,2024-12-31,
1348,4,4,148,4,,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,2024-12-31,
1349,1,4,149,1,,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,2024-12-31,
1350,2,4,150,2,,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,2024-12-31,
1351,3,4,151,3,,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,2024-12-31,
1352,4,4,152,4,4,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,2024-12-31,
1353,1,4,153,1,,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl,2024-12-31,
1354,2,4,154,2,,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque,2024-12-31,
1355,3,4,155,3,,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,2024-12-31,
1356,4,4,156,4,,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas,2024-12-31,
1357,1,4,157,1,,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,2024-12-31,
1358,2,4,158,2,,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam,2024-12-31,
1359,3,4,159,3,,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,2024-12-31,
1360,4,4,160,4,,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,2024-12-31,
1361,1,4,161,1,,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,2024-12-31,
1362,2,4,162,2,,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,2024-12-31,
1363,3,4,163,3,,pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac,2024-12-31,
1364,4,4,164,4,,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,2024-12-31,
1365,1,4,165,1,,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,2024-12-31,
1366,2,4,166,2,,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,2024-12-31,
1367,3,4,167,3,,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,2024-12-31,
1368,4,4,168,4,,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,2024-12-31,
1369,1,4,169,1,3,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in,2024-12-31,
1370,2,4,170,2,,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,2024-12-31,
1371,3,4,171,3,,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,2024-12-31,
1372,4,4,172,4,,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,2024-12-31,
1373,1,4,173,1,10,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et,2024-12-31,
1374,2,4,174,2,,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,2024-12-31,
1375,3,4,175,3,,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,2024-12-31,
1376,4,4,176,4,9,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,2024-12-31,
1377,1,4,177,1,,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,2024-12-31,
1378,2,4,178,2,,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,2024-12-31,
1379,3,4,179,3,4,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,2024-12-31,
1380,4,4,180,4,,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,2024-12-31,
1381,1,4,181,1,8,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend,2024-12-31,
1382,2,4,182,2,,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,2024-12-31,
1383,3,4,183,3,,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,2024-12-31,
1384,4,4,184,4,,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,2024-12-31,
1385,1,4,185,1,7,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,2024-12-31,
1386,2,4,186,2,,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula,2024-12-31,
1387,3,4,187,3,5,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo,2024-12-31,
1388,4,4,188,4,,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,2024-12-31,
1389,1,4,189,1,,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,2024-12-31,
1390,2,4,190,2,5,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,2024-12-31,
1391,3,4,191,3,,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,2024-12-31,
1392,4,4,192,4,,sed magna at nunc commodo placerat praesent blandit nam nulla,2024-12-31,
1393,1,4,193,1,,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,2024-12-31,
1394,2,4,194,2,3,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,2024-12-31,
1395,3,4,195,3,5,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,2024-12-31,
1396,4,4,196,4,9,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta,2024-12-31,
1397,1,4,197,1,,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus,2024-12-31,
1398,2,4,198,2,,molestie lorem quisque ut erat curabitur gravida nisi at nibh,2024-12-31,
1399,3,4,199,3,1,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,2024-12-31,
1400,4,4,200,4,,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,2024-12-31,
1401,1,4,201,1,,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,2024-12-31,
1402,2,4,202,2,1,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,2024-12-31,
1403,3,4,203,3,,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor,2024-12-31,
1404,4,4,204,4,,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce,2024-12-31,
1405,1,4,205,1,,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,2024-12-31,
1406,2,4,206,2,,congue risus semper porta volutpat quam pede lobortis ligula sit amet,2024-12-31,
1407,3,4,207,3,,convallis morbi odio odio elementum eu interdum eu tincidunt in leo,2024-12-31,
1408,4,4,208,4,7,consequat metus sapien ut nunc vestibulum ante ipsum primis in,2024-12-31,
1409,1,4,209,1,,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,2024-12-31,
1410,2,4,210,2,,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,2024-12-31,
1411,3,4,211,3,6,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,2024-12-31,
1412,4,4,212,4,,in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,2024-12-31,
1413,1,4,213,1,,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,2024-12-31,
1414,2,4,214,2,,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,2024-12-31,
1415,3,4,215,3,,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,2024-12-31,
1416,4,4,216,4,,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,2024-12-31,
1417,1,4,217,1,,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,2024-12-31,
1418,2,4,218,2,,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante,2024-12-31,
1419,3,4,219,3,,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin,2024-12-31,
1420,4,4,220,4,,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,2024-12-31,
1421,1,4,221,1,,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,2024-12-31,
1422,2,4,222,2,,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,2024-12-31,
1423,3,4,223,3,,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,2024-12-31,
1424,4,4,224,4,,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,2024-12-31,
1425,1,4,225,1,,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,2024-12-31,
1426,2,4,226,2,,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac,2024-12-31,
1427,3,4,227,3,,sed tristique in tempus sit amet sem fusce consequat nulla nisl,2024-12-31,
1428,4,4,228,4,7,lorem id ligula suspendisse ornare consequat lectus in est risus,2024-12-31,
1429,1,4,229,1,,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,2024-12-31,
1430,2,4,230,2,,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,2024-12-31,
1431,3,4,231,3,,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus,2024-12-31,
1432,4,4,232,4,,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,2024-12-31,
1433,1,4,233,1,3,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,2024-12-31,
1434,2,4,234,2,,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,2024-12-31,
1435,3,4,235,3,,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,2024-12-31,
1436,4,4,236,4,,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy,2024-12-31,
1437,1,4,237,1,,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,2024-12-31,
1438,2,4,238,2,,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,2024-12-31,
1439,3,4,239,3,,sed accumsan felis ut at dolor quis odio consequat varius integer ac,2024-12-31,
1440,4,4,240,4,,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,2024-12-31,
1441,1,4,241,1,,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,2024-12-31,
1442,2,4,242,2,,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,2024-12-31,
1443,3,4,243,3,,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,2024-12-31,
1444,4,4,244,4,,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,2024-12-31,
1445,1,4,245,1,,ac neque duis bibendum morbi non quam nec dui luctus,2024-12-31,
1446,2,4,246,2,4,ornare consequat lectus in est risus auctor sed tristique in tempus sit,2024-12-31,
1447,3,4,247,3,,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,2024-12-31,
1448,4,4,248,4,,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,2024-12-31,
1449,1,4,249,1,,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,2024-12-31,
1450,2,4,250,2,,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,2024-12-31,
1451,3,4,251,3,,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec,2024-12-31,
1452,4,4,252,4,,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,2024-12-31,
1453,1,4,253,1,,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,2024-12-31,
1454,2,4,254,2,,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,2024-12-31,
1455,3,4,255,3,,mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in,2024-12-31,
1456,4,4,256,4,8,lectus suspendisse potenti in eleifend quam a odio in hac,2024-12-31,
1457,1,4,257,1,,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,2024-12-31,
1458,2,4,258,2,4,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,2024-12-31,
1459,3,4,259,3,6,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,2024-12-31,
1460,4,4,260,4,,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,2024-12-31,
1461,1,4,261,1,4,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis,2024-12-31,
1462,2,4,262,2,,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,2024-12-31,
1463,3,4,263,3,,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,2024-12-31,
1464,4,4,264,4,,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam,2024-12-31,
1465,1,4,265,1,,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,2024-12-31,
1466,2,4,266,2,,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,2024-12-31,
1467,3,4,267,3,,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,2024-12-31,
1468,4,4,268,4,,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,2024-12-31,
1469,1,4,269,1,,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,2024-12-31,
1470,2,4,270,2,,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,2024-12-31,
1471,3,4,271,3,,libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,2024-12-31,
1472,4,4,272,4,,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,2024-12-31,
1473,1,4,273,1,10,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,2024-12-31,
1474,2,4,274,2,,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,2024-12-31,
1475,3,4,275,3,2,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,2024-12-31,
1476,4,4,276,4,5,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,2024-12-31,
1477,1,4,277,1,,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam,2024-12-31,
1478,2,4,278,2,,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,2024-12-31,
1479,3,4,279,3,,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,2024-12-31,
1480,4,4,280,4,,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,2024-12-31,
1481,1,4,281,1,,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,2024-12-31,
1482,2,4,282,2,,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in,2024-12-31,
1483,3,4,283,3,8,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,2024-12-31,
1484,4,4,284,4,,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,2024-12-31,
1485,1,4,285,1,,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit,2024-12-31,
1486,2,4,286,2,,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,2024-12-31,
1487,3,4,287,3,8,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,2024-12-31,
1488,4,4,288,4,,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,2024-12-31,
1489,1,4,289,1,,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,2024-12-31,
1490,2,4,290,2,,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,2024-12-31,
1491,3,4,291,3,,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,2024-12-31,
1492,4,4,292,4,,id massa id nisl venenatis lacinia aenean sit amet justo morbi,2024-12-31,
1493,1,4,293,1,3,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,2024-12-31,
1494,2,4,294,2,,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,2024-12-31,
1495,3,4,295,3,,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor,2024-12-31,
1496,4,4,296,4,,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,2024-12-31,
1497,1,4,297,1,,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,2024-12-31,
1498,2,4,298,2,,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,2024-12-31,
1499,3,4,299,3,,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,2024-12-31,
1500,4,4,300,4,10,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,2024-12-31,
1501,1,4,301,1,7,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit,2024-12-31,
1502,2,4,302,2,4,ut massa quis augue luctus tincidunt nulla mollis molestie lorem,2024-12-31,
1503,3,4,303,3,9,lectus in est risus auctor sed tristique in tempus sit,2024-12-31,
1504,4,4,304,4,3,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,2024-12-31,
1505,1,4,305,1,,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,2024-12-31,
1506,2,4,306,2,,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,2024-12-31,
1507,3,4,307,3,5,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero,2024-12-31,
1508,4,4,308,4,,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,2024-12-31,
1509,1,4,309,1,,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non,2024-12-31,
1510,2,4,310,2,5,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,2024-12-31,
1511,3,4,311,3,,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,2024-12-31,
1512,4,4,312,4,,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,2024-12-31,
1513,1,4,313,1,2,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,2024-12-31,
1514,2,4,314,2,5,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,2024-12-31,
1515,3,4,315,3,3,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,2024-12-31,
1516,4,4,316,4,9,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,2024-12-31,
1517,1,4,317,1,,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,2024-12-31,
1518,2,4,318,2,,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,2024-12-31,
1519,3,4,319,3,,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,2024-12-31,
1520,4,4,320,4,9,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,2024-12-31,
1521,1,4,321,1,,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,2024-12-31,
1522,2,4,322,2,,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse,2024-12-31,
1523,3,4,323,3,,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,2024-12-31,
1524,4,4,324,4,,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius,2024-12-31,
1525,1,4,325,1,6,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,2024-12-31,
1526,2,4,326,2,,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,2024-12-31,
1527,3,4,327,3,,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,2024-12-31,
1528,4,4,328,4,,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,2024-12-31,
